Top pages,Clicks,Impressions,CTR,Position
https://lets-plot.org/python/pages/api/lets_plot.GGBunch.html,20,247,8.1%,6.82
https://lets-plot.org/python/pages/api/lets_plot.geom_path.html,19,1318,1.44%,9.92
https://lets-plot.org/python/pages/basemap_tiles.html,19,840,2.26%,20.01
https://lets-plot.org/pages/geocoding.html,18,3241,0.56%,8.72
https://lets-plot.org/python/pages/api/lets_plot.position_dodge.html,18,2140,0.84%,11.22
https://lets-plot.org/pages/api/lets_plot.geom_density.html,18,1132,1.59%,23.64
https://lets-plot.org/python/pages/api/lets_plot.bistro.corr.corr_plot.html,18,1062,1.69%,24.48
https://lets-plot.org/kotlin/api-reference/-lets--plot--kotlin/org.jetbrains.letsPlot.geom/index.html,18,763,2.36%,12.62
https://lets-plot.org/kotlin/-lets--plot--kotlin/org.jetbrains.letsPlot.geom/index.html,18,747,2.41%,24.05
https://lets-plot.org/python/pages/advanced_geocoding.html,18,381,4.72%,26.28
https://lets-plot.org/python/pages/api/lets_plot.position_jitterdodge.html,17,977,1.74%,10.06
https://lets-plot.org/python/pages/api/lets_plot.scale_fill_hue.html,17,373,4.56%,7.37
https://lets-plot.org/kotlin/api-reference/-lets--plot--kotlin/org.jetbrains.letsPlot.themes/index.html,17,212,8.02%,6.97
https://lets-plot.org/python/pages/api/lets_plot.scale_x_discrete.html,16,1137,1.41%,8.38
https://lets-plot.org/kotlin/api-reference/-lets--plot--kotlin/org.jetbrains.letsPlot.scale/scale-fill-gradient.html,16,350,4.57%,17.54
https://lets-plot.org/pages/api/lets_plot.xlab.html,16,78,20.51%,13.96
https://lets-plot.org/pages/api/lets_plot.scale_y_discrete.html,15,978,1.53%,10.92
https://lets-plot.org/pages/api/lets_plot.position_jitter.html,15,663,2.26%,16.4
https://lets-plot.org/pages/api/lets_plot.scale_color_identity.html,15,514,2.92%,10.67
https://lets-plot.org/pages/api/lets_plot.GGBunch.html,15,203,7.39%,6.95
https://lets-plot.org/python/pages/api/lets_plot.geom_imshow.html,15,171,8.77%,14.27
https://lets-plot.org/python/pages/geocoding.html,14,3739,0.37%,11.55
https://lets-plot.org/pages/api/lets_plot.scale_shape_manual.html,14,3107,0.45%,10.74
https://lets-plot.org/python/pages/api/lets_plot.coord_cartesian.html,14,1227,1.14%,9.96
https://lets-plot.org/pages/api/lets_plot.scale_alpha_manual.html,14,903,1.55%,7.92
https://lets-plot.org/python/pages/api/lets_plot.scale_color_continuous.html,14,863,1.62%,8.29
