unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1676505600,2023-02-16 00:00:00,BTC/USD,24332,25270,23520,23521,3634.80024930,85494136.6637853
1676419200,2023-02-15 00:00:00,BTC/USD,22208,24374,22064,24332,2316.23830307,56358710.39029924
1676332800,2023-02-14 00:00:00,BTC/USD,21790,22316,21569,22211,2032.44280719,45142587.190497085
1676246400,2023-02-13 00:00:00,BTC/USD,21790,21897,21376,21790,1923.03740841,41902985.129253894
1676160000,2023-02-12 00:00:00,BTC/USD,21868,22086,21649,21789,1481.78576998,32286630.142094217
1676073600,2023-02-11 00:00:00,BTC/USD,21631,21904,21610,21868,699.37255295,15293878.9879106
1675987200,2023-02-10 00:00:00,BTC/USD,21803,21939,21454,21639,1503.99323818,32544909.68097702
1675900800,2023-02-09 00:00:00,BTC/USD,22965,23003,21700,21802,2260.78508530,49289636.4297106
1675814400,2023-02-08 00:00:00,BTC/USD,23246,23439,22686,22961,1236.37140064,28388323.73009504
1675728000,2023-02-07 00:00:00,BTC/USD,22761,23338,22751,23252,2758.47564405,64140075.6754506
1675641600,2023-02-06 00:00:00,BTC/USD,22942,23148,22643,22763,1731.60284453,39416475.55003639
1675555200,2023-02-05 00:00:00,BTC/USD,23328,23428,22766,22937,1525.50154971,34990429.04569827
1675468800,2023-02-04 00:00:00,BTC/USD,23421,23582,23266,23330,778.73091268,18167792.192824397
1675382400,2023-02-03 00:00:00,BTC/USD,23503,23719,23212,23434,1742.07112849,40823694.82503466
1675296000,2023-02-02 00:00:00,BTC/USD,23736,24258,23377,23498,2609.58252721,61319970.22438058
1675209600,2023-02-01 00:00:00,BTC/USD,23134,23810,22768,23735,2468.52240577,58590379.30095095
1675123200,2023-01-31 00:00:00,BTC/USD,22831,23318,22724,23127,1557.98459142,36031509.64577034
1675036800,2023-01-30 00:00:00,BTC/USD,23748,23799,22504,22831,2081.82272658,47530094.670547985
1674950400,2023-01-29 00:00:00,BTC/USD,23031,23954,22981,23746,1620.98279529,38491857.45695634
1674864000,2023-01-28 00:00:00,BTC/USD,23082,23187,22894,23033,834.35222550,19217634.8099415
1674777600,2023-01-27 00:00:00,BTC/USD,23011,23500,22541,23083,2086.70647505,48167445.56357915
1674691200,2023-01-26 00:00:00,BTC/USD,23063,23282,22866,23010,1472.74474346,33887856.5470146
1674604800,2023-01-25 00:00:00,BTC/USD,22636,23815,22334,23054,2582.12043347,59528204.47321738
1674518400,2023-01-24 00:00:00,BTC/USD,22922,23162,22473,22637,1953.73212508,44226634.11543596
1674432000,2023-01-23 00:00:00,BTC/USD,22708,23167,22525,22922,1699.03647700,38945314.125794
1674345600,2023-01-22 00:00:00,BTC/USD,22791,23076,22314,22717,1548.97073883,35187968.274001114
1674259200,2023-01-21 00:00:00,BTC/USD,22670,23362,22442,22783,3013.23007247,68650420.74108401
1674172800,2023-01-20 00:00:00,BTC/USD,21085,22750,20869,22678,2937.14734339,66608627.45339842
1674086400,2023-01-19 00:00:00,BTC/USD,20678,21185,20654,21086,2391.67069084,50430768.18705224
1674000000,2023-01-18 00:00:00,BTC/USD,21136,21646,20358,20670,3794.75671744,78437621.3494848
1673913600,2023-01-17 00:00:00,BTC/USD,21186,21594,20863,21134,2302.39736137,48658865.83519358
1673827200,2023-01-16 00:00:00,BTC/USD,20879,21456,20634,21189,3236.95717404,68587885.56073356
1673740800,2023-01-15 00:00:00,BTC/USD,20961,21052,20549,20885,1352.72025796,28251562.5874946
1673654400,2023-01-14 00:00:00,BTC/USD,19936,21247,19895,20960,6843.48563958,143439459.0055968
1673568000,2023-01-13 00:00:00,BTC/USD,18852,19991,18720,19931,3765.27425920,75045681.2601152
1673481600,2023-01-12 00:00:00,BTC/USD,17948,19114,17911,18853,5124.55845338,96613300.52157314
1673395200,2023-01-11 00:00:00,BTC/USD,17448,17992,17318,17930,1904.45231601,34146830.0260593
1673308800,2023-01-10 00:00:00,BTC/USD,17177,17490,17147,17446,1354.43514717,23629475.577527817
1673222400,2023-01-09 00:00:00,BTC/USD,17124,17393,17108,17179,2213.34824624,38023109.52215696
1673136000,2023-01-08 00:00:00,BTC/USD,16946,17163,16915,17119,816.57209307,13978897.66126533
1673049600,2023-01-07 00:00:00,BTC/USD,16951,16975,16907,16945,523.75442441,8875018.72162745
1672963200,2023-01-06 00:00:00,BTC/USD,16826,17024,16669,16950,1738.57975267,29468926.807756502
1672876800,2023-01-05 00:00:00,BTC/USD,16847,16871,16755,16826,1131.61941681,19040628.30724506
1672790400,2023-01-04 00:00:00,BTC/USD,16673,16984,16652,16849,2038.03012252,34338769.53433948
1672704000,2023-01-03 00:00:00,BTC/USD,16668,16766,16605,16670,1388.07196613,23139159.6753871
1672617600,2023-01-02 00:00:00,BTC/USD,16615,16782,16552,16673,1046.72743680,17452086.5537664
1672531200,2023-01-01 00:00:00,BTC/USD,16530,16622,16496,16615,473.83273801,7872730.94203615
1672444800,2022-12-31 00:00:00,BTC/USD,16602,16627,16471,16528,602.43437164,9957035.29446592
1672358400,2022-12-30 00:00:00,BTC/USD,16628,16650,16337,16603,2223.64394181,36919160.36587143
1672272000,2022-12-29 00:00:00,BTC/USD,16540,16650,16486,16628,1560.43976985,25946992.4930658
1672185600,2022-12-28 00:00:00,BTC/USD,16699,16772,16465,16540,2220.78816676,36731836.2782104
1672099200,2022-12-27 00:00:00,BTC/USD,16920,16961,16588,16700,2204.70406525,36818557.889675
1672012800,2022-12-26 00:00:00,BTC/USD,16828,16933,16801,16917,731.85697007,12380824.36267419
1671926400,2022-12-25 00:00:00,BTC/USD,16839,16850,16731,16828,717.96557265,12081924.6565542
1671840000,2022-12-24 00:00:00,BTC/USD,16779,16848,16779,16839,960.32660970,16170939.7807383
1671753600,2022-12-23 00:00:00,BTC/USD,16821,16916,16750,16779,2138.44668760,35880996.9712404
1671667200,2022-12-22 00:00:00,BTC/USD,16823,16863,16570,16821,1946.30526969,32738800.941455487
1671580800,2022-12-21 00:00:00,BTC/USD,16899,16919,16719,16824,1618.76729861,27234141.03181464
1671494400,2022-12-20 00:00:00,BTC/USD,16441,17046,16402,16898,2115.97889225,35755811.3212405
1671408000,2022-12-19 00:00:00,BTC/USD,16744,16815,16293,16446,2157.44154575,35481283.6614045
1671321600,2022-12-18 00:00:00,BTC/USD,16780,16850,16676,16749,695.99091766,11657151.87988734
1671235200,2022-12-17 00:00:00,BTC/USD,16635,16794,16596,16781,1114.37024438,18700247.07094078
1671148800,2022-12-16 00:00:00,BTC/USD,17361,17525,16572,16633,2853.96835966,47470055.72622478
1671062400,2022-12-15 00:00:00,BTC/USD,17806,17853,17288,17362,1887.37172156,32768547.829724718
1670976000,2022-12-14 00:00:00,BTC/USD,17771,18373,17667,17803,3836.86554644,68307717.32327132
1670889600,2022-12-13 00:00:00,BTC/USD,17214,18106,17093,17772,3838.86501115,68224308.9781578
1670803200,2022-12-12 00:00:00,BTC/USD,17089,17240,16881,17209,1695.05652530,29170227.7438877
1670716800,2022-12-11 00:00:00,BTC/USD,17128,17264,17080,17091,1239.35778560,21181863.9136896
1670630400,2022-12-10 00:00:00,BTC/USD,17129,17223,17100,17128,677.74180701,11608361.67046728
1670544000,2022-12-09 00:00:00,BTC/USD,17229,17353,17073,17128,1226.70564841,21011014.34596648
1670457600,2022-12-08 00:00:00,BTC/USD,16838,17296,16734,17229,1724.69349744,29714744.26739376
1670371200,2022-12-07 00:00:00,BTC/USD,17091,17131,16736,16836,1185.39328287,19957281.31039932
1670284800,2022-12-06 00:00:00,BTC/USD,16968,17101,16914,17087,1303.37122474,22270704.117132377
1670198400,2022-12-05 00:00:00,BTC/USD,17113,17418,16879,16968,2251.51957602,38203784.16590736
1670112000,2022-12-04 00:00:00,BTC/USD,16893,17195,16890,17114,1603.55160130,27443182.1046482
1670025600,2022-12-03 00:00:00,BTC/USD,17095,17150,16868,16886,1177.01264514,19875035.52583404
1669939200,2022-12-02 00:00:00,BTC/USD,16976,17102,16800,17095,2329.03284999,39814816.57057905
1669852800,2022-12-01 00:00:00,BTC/USD,17166,17250,16864,16977,3207.29094124,54450178.30943148
1669766400,2022-11-30 00:00:00,BTC/USD,16437,17223,16430,17170,4442.42726142,76276476.0785814
1669680000,2022-11-29 00:00:00,BTC/USD,16205,16529,16102,16434,2310.87079583,37976850.658670224
1669593600,2022-11-28 00:00:00,BTC/USD,16420,16477,16004,16210,3254.70177817,52758715.8241357
1669507200,2022-11-27 00:00:00,BTC/USD,16451,16587,16402,16424,1189.79470656,19541188.26054144
1669420800,2022-11-26 00:00:00,BTC/USD,16511,16685,16387,16454,1503.64131011,24740914.11654994
1669334400,2022-11-25 00:00:00,BTC/USD,16589,16604,16339,16508,2043.43507991,33733026.29915428
1669248000,2022-11-24 00:00:00,BTC/USD,16594,16783,16456,16591,2141.48446170,35529368.7040647
1669161600,2022-11-23 00:00:00,BTC/USD,16199,16647,16150,16603,3505.29313128,58198381.85864184
1669075200,2022-11-22 00:00:00,BTC/USD,15757,16281,15613,16197,3718.55455894,60229428.19115118
1668988800,2022-11-21 00:00:00,BTC/USD,16250,16269,15479,15766,5633.48780213,88817568.68838158
1668902400,2022-11-20 00:00:00,BTC/USD,16687,16730,16169,16256,1827.05676561,29700634.78175616
1668816000,2022-11-19 00:00:00,BTC/USD,16683,16799,16548,16690,1377.39639710,22988745.867599
1668729600,2022-11-18 00:00:00,BTC/USD,16687,16971,16540,16683,2673.28041964,44598337.24085412
1668643200,2022-11-17 00:00:00,BTC/USD,16655,16724,16412,16686,2458.66689134,41025315.74889924
1668556800,2022-11-16 00:00:00,BTC/USD,16875,16980,16371,16654,4035.80042365,67212220.2554671
1668470400,2022-11-15 00:00:00,BTC/USD,16586,17095,16511,16874,5633.39934780,95057980.5947772
1668384000,2022-11-14 00:00:00,BTC/USD,16300,17130,15784,16589,7964.34006887,132120437.40248443
1668297600,2022-11-13 00:00:00,BTC/USD,16788,17240,16263,16310,2703.91194662,44100803.8493722
1668211200,2022-11-12 00:00:00,BTC/USD,17020,17054,16610,16788,1882.26415655,31599450.660161402
1668124800,2022-11-11 00:00:00,BTC/USD,17548,17645,16394,17007,5636.75561159,95864302.68631113
1668038400,2022-11-10 00:00:00,BTC/USD,15900,18150,15748,17551,8375.25692463,146994134.28418115
1667952000,2022-11-09 00:00:00,BTC/USD,18546,18588,15632,15877,8350.56544560,132581927.57979119
1667865600,2022-11-08 00:00:00,BTC/USD,20591,20669,17114,18550,12035.90178845,223265978.1757475
1667779200,2022-11-07 00:00:00,BTC/USD,20899,21070,20400,20590,1417.99563473,29196530.1190907
