hash;repo_name;author;date;extension;additions;deletions
b9c9e414a3413885ba8830f177e4ec2aa6319eb4;lets-plot;Ivan Kupriyanov;Thu Nov 28 21:49:32 2024 +0100;md;1;0
930a79450ae94f149799d5061aa9c314b8767805;lets-plot;Ivan Kupriyanov;Thu Nov 28 20:44:21 2024 +0100;kt;7;1
930a79450ae94f149799d5061aa9c314b8767805;lets-plot;Ivan Kupriyanov;Thu Nov 28 20:44:21 2024 +0100;md;3;2
d3c0b9e204cf1f056954415e9857317cf03f7458;lets-plot;Ivan Kupriyanov;Thu Nov 28 17:49:41 2024 +0100;md;1;0
a5ecb0396c5b08f72ea2aeef04852851b9613852;lets-plot;Ivan Kupriyanov;Thu Nov 28 17:48:31 2024 +0100;kt;54;12
a5ecb0396c5b08f72ea2aeef04852851b9613852;lets-plot;Ivan Kupriyanov;Thu Nov 28 17:48:31 2024 +0100;md;2;1
2a28249172ff0195ca429ba1ec3c9f20c19f0a61;lets-plot;Ivan Kupriyanov;Thu Nov 28 16:00:08 2024 +0100;kt;133;97
dd96b2784ef51f967da7eae3e183890b48589ded;lets-plot;Valentin Dovidaytis;Wed Nov 27 11:30:25 2024 +0100;kts;1;1
dd96b2784ef51f967da7eae3e183890b48589ded;lets-plot;Valentin Dovidaytis;Wed Nov 27 11:30:25 2024 +0100;py;1;1
24bacb0c8f08295e6c09235d63084a4f27b1073f;lets-plot;Valentin Dovidaytis;Wed Nov 27 11:29:05 2024 +0100;js;1;1
24bacb0c8f08295e6c09235d63084a4f27b1073f;lets-plot;Valentin Dovidaytis;Wed Nov 27 11:29:05 2024 +0100;kts;1;1
24bacb0c8f08295e6c09235d63084a4f27b1073f;lets-plot;Valentin Dovidaytis;Wed Nov 27 11:29:05 2024 +0100;py;1;1
360be6bcab5b3dc3a538359cc0e58f933dd48fa0;lets-plot;Ivan Kupriyanov;Tue Nov 26 21:40:38 2024 +0100;kt;0;7
1a3c21b21bbdfa560b86d76c278a6536fa867e33;lets-plot;Ivan Kupriyanov;Tue Nov 26 21:37:51 2024 +0100;kt;42;31
0219c3963f3520827b35de8333f7514762030dfb;lets-plot;Valentin Dovidaytis;Tue Nov 26 15:05:46 2024 +0100;kts;1;1
eeb0ce5d71e33c5d92e82cf3c2d6b1c4ab0ac3f1;lets-plot;Valentin Dovidaytis;Tue Nov 26 15:02:14 2024 +0100;js;1;1
eeb0ce5d71e33c5d92e82cf3c2d6b1c4ab0ac3f1;lets-plot;Valentin Dovidaytis;Tue Nov 26 15:02:14 2024 +0100;kts;1;1
7d0c81395045fb828687c93045aa91b4a8e450db;lets-plot;Ivan Kupriyanov;Tue Nov 26 12:35:58 2024 +0100;kt;30;15
99521ad2fc1ddc63fe5b6fefa4b160f548bfc798;lets-plot;Ivan Kupriyanov;Mon Nov 25 16:56:29 2024 +0100;kt;11;11
a090c6fbf5b44f7d0b6d4127a76b24044e2b974b;lets-plot;Igor Alshannikov;Fri Nov 22 20:10:19 2024 -0500;kt;7;2
2a78b7086f1bdeb8e06a873615aa2aa94a4f0a76;lets-plot;Igor Alshannikov;Fri Nov 22 16:20:54 2024 -0500;kt;5;1
99932e73bbd1d9e6a8771682387180f09aff2357;lets-plot;Ivan Kupriyanov;Fri Nov 22 21:59:00 2024 +0100;kt;786;809
1716016f56579438f667c464b7009e2bb5c983f5;lets-plot;Igor Alshannikov;Fri Nov 22 13:58:37 2024 -0500;kt;25;8
7a446304ed0f72f8b46ea659424992529b8a11ef;lets-plot;Igor Alshannikov;Wed Nov 20 18:05:50 2024 -0500;kt;301;300
af1d68a45a873e03dbd3455b42025eded04b5995;lets-plot;Ivan Kupriyanov;Tue Nov 19 19:36:52 2024 +0100;kt;4;4
241ee55771a95ac69eba8494ce5e05fc1b327e5f;lets-plot;Valentin Dovidaytis;Tue Nov 19 15:51:05 2024 +0100;py;6;6
c0d2015a24882243305c16f3b08bd34fd07b2387;lets-plot;Ivan Kupriyanov;Mon Nov 18 22:03:10 2024 +0100;kt;70;43
e5b601e5c10568a7ebf4db06bff3e768070010c4;lets-plot;Artem Smirnov;Fri Nov 15 19:40:28 2024 +0100;kt;131;149
c90515b54a53a4054cc27aaba36575f673b90f83;lets-plot;Ivan Kupriyanov;Fri Nov 15 18:24:05 2024 +0100;kt;24;1
c90515b54a53a4054cc27aaba36575f673b90f83;lets-plot;Ivan Kupriyanov;Fri Nov 15 18:24:05 2024 +0100;md;2;1
883f4c596c1bba91b60c3f26c3374c9dd158ee1b;lets-plot;Ivan Kupriyanov;Fri Nov 15 18:23:01 2024 +0100;md;1;0
7baaba0cac7517384cca90ab96d2f43b53740da0;lets-plot;Ivan Kupriyanov;Fri Nov 15 15:30:44 2024 +0100;kt;1;1
28893540551a889fec0107f49b97c1117ddbebc5;lets-plot;Ivan Kupriyanov;Fri Nov 15 14:52:27 2024 +0100;md;2;1
be8d61d2d41f743a545ecfb984f622254457e383;lets-plot;Ivan Kupriyanov;Fri Nov 15 14:51:16 2024 +0100;kt;10;6
a10281e46c6ffc3dc0bc119f8ce3ec15cb2eb9a6;lets-plot;Ivan Kupriyanov;Fri Nov 15 14:06:32 2024 +0100;kt;22;1
f03ac14406d2f6600006206a0718765095da0e7e;lets-plot;Artem Smirnov;Thu Nov 14 13:22:10 2024 +0100;kt;5;7
