number;state;author;title;created_at;closed;closed_at;repo_name
355;OPEN;Artem Smirnov;Incorrect code does not throw an exception;2021-03-30T15:08:48Z;False;;lets-plot
354;OPEN;Artem Smirnov;`layer()` ignores aesthetics;2021-03-30T15:08:17Z;False;;lets-plot
352;OPEN;Igor Alshannikov;"geom_livemap: param ""location"" should be easier to use with geocoder object.";2021-03-25T19:02:34Z;False;;lets-plot
350;OPEN;Ekaterina Arkhipova;"Incorrect coordinates of point by ""pick"" tool if the map was shifted.";2021-03-19T17:56:54Z;False;;lets-plot
348;CLOSED;;Plots not showing in SciView when remote debugging;2021-03-10T19:28:22Z;True;2021-03-17T16:51:29Z;lets-plot
347;CLOSED;Igor Alshannikov;All scales should have the 'format' parameter.;2021-03-08T16:22:58Z;True;2021-05-17T18:20:05Z;lets-plot
346;CLOSED;Artem Smirnov;scale_x_datetime(): error building plot for early dates;2021-03-05T16:04:13Z;True;2023-08-30T22:13:13Z;lets-plot
343;CLOSED;Ivan Kupriyanov;Treat a data as DataFrame if both data and map are GeoDataFrames;2021-03-02T20:17:01Z;True;2021-03-02T20:22:35Z;lets-plot
340;CLOSED;Igor Alshannikov;"geom_density: The ""..count.."" variable is not computed correctly";2021-03-01T18:27:05Z;True;2022-06-28T00:34:04Z;lets-plot
339;OPEN;Artem Smirnov;geom_text(): Labels do not fit plot boundaries;2021-03-01T10:47:46Z;False;;lets-plot
336;CLOSED;Igor Alshannikov;panning on interactive map should be more responsive.;2021-02-22T19:12:34Z;True;2023-07-10T18:36:38Z;lets-plot
335;CLOSED;Igor Alshannikov;tooltip on livemap: hide tooltip when the cursor is over the controls;2021-02-22T18:35:48Z;True;2022-01-20T18:21:08Z;lets-plot
334;CLOSED;Artem Smirnov;geom_hline(): graph plotted outside of coordinate plane visible part;2021-02-20T13:34:40Z;True;2021-04-27T21:57:01Z;lets-plot
333;CLOSED;Artem Smirnov;Axis titles depend on order of datasets;2021-02-20T13:16:16Z;True;2021-03-17T13:41:15Z;lets-plot
332;CLOSED;Igor Alshannikov;livemap: tile tooltip is not working with polygons layer present.;2021-02-18T21:55:31Z;True;2023-02-10T18:51:37Z;lets-plot
331;CLOSED;Igor Alshannikov;coord_map() should distort tiles size to account for different unit size at different latitudes.;2021-02-18T20:08:37Z;True;2024-03-01T12:35:49Z;lets-plot
329;CLOSED;Artem Smirnov;corr_plot() error for data with zero variation;2021-02-18T10:06:40Z;True;2021-10-28T18:18:25Z;lets-plot
327;CLOSED;Artem Smirnov;Bad axis labels when using both plot and layer data;2021-02-17T14:52:26Z;True;2021-07-22T20:52:02Z;lets-plot
326;CLOSED;Artem Smirnov;geom_crossbar: bad label for y axis;2021-02-16T15:17:12Z;True;2021-03-26T19:27:51Z;lets-plot
325;CLOSED;Igor Alshannikov;geom_boxplot: should be possible to create boxplot without specifying x-series;2021-02-15T20:25:04Z;True;2021-04-27T21:34:33Z;lets-plot
324;CLOSED;Igor Alshannikov;geom_text: add support for lineheight, nudge_x, nudge_y, inward and outward;2021-02-15T20:22:59Z;True;2022-11-09T13:21:55Z;lets-plot
323;CLOSED;Igor Alshannikov;position stack: add the `vjust` parameter.;2021-02-15T20:21:58Z;True;2022-11-09T13:23:05Z;lets-plot
322;OPEN;Igor Alshannikov;geom_arrow: support arrow() on line / path geoms;2021-02-15T20:21:13Z;False;;lets-plot
321;OPEN;Igor Alshannikov;GGbunch: overall title;2021-02-15T20:20:31Z;False;;lets-plot
320;CLOSED;Igor Alshannikov;Implement the 'stroke' aesthetic.;2021-02-15T20:19:09Z;True;2023-03-31T17:27:05Z;lets-plot
319;CLOSED;Igor Alshannikov;Support LaTeX for labels;2021-02-15T20:14:48Z;True;2021-12-28T22:18:44Z;lets-plot
318;CLOSED;Igor Alshannikov;geom_vline: alpha doesn't work;2021-02-15T20:11:25Z;True;2021-02-16T18:01:18Z;lets-plot
317;OPEN;Igor Alshannikov;geom_point cannot be plot when the input for the parameter 'shape' is a string;2021-02-15T20:05:34Z;False;;lets-plot
316;CLOSED;Igor Alshannikov;add stat_summary, stat_summary_bin to ggplot;2021-02-15T20:02:19Z;True;2023-07-10T09:37:17Z;lets-plot
315;CLOSED;Igor Alshannikov;Weird tooltip/legend in case of extremely long value;2021-02-15T20:01:18Z;True;2023-06-20T11:12:00Z;lets-plot
314;OPEN;Igor Medovolkin;Parameter info for aes() is missing all its arguments;2021-02-12T12:36:47Z;False;;lets-plot
313;CLOSED;Igor Medovolkin;geom_path doesn't support different colors for segments;2021-02-12T12:11:36Z;True;2023-06-30T13:12:57Z;lets-plot
311;CLOSED;Michael Cramer;jcenter will be shutdown;2021-02-10T09:22:58Z;True;2021-06-28T22:40:44Z;lets-plot
309;CLOSED;Olga Larionova;The tooltip crosshair lags behind the cursor;2021-02-09T14:13:10Z;True;2021-03-17T09:57:53Z;lets-plot
308;OPEN;Igor Alshannikov;map parameter: support shapely objects.;2021-02-07T19:48:05Z;False;;lets-plot
307;CLOSED;Igor Alshannikov;Support rectangle 'linetype' in geom_livemap()  ;2021-02-05T23:29:54Z;True;2023-09-08T18:00:36Z;lets-plot
301;CLOSED;Artem Smirnov;"Need to skip ""bad"" values during scale transformation";2021-01-27T15:59:06Z;True;2021-07-08T18:58:34Z;lets-plot
300;OPEN;Artem Smirnov;More flexible ggsize();2021-01-27T13:58:09Z;False;;lets-plot
299;OPEN;Artem Smirnov;Using range in scales;2021-01-27T13:54:54Z;False;;lets-plot
298;CLOSED;Artem Smirnov;Default tooltips not working for geom_polygon() on small plots;2021-01-27T13:52:10Z;True;2021-03-03T09:42:07Z;lets-plot
297;CLOSED;Artem Smirnov;Maximum possible value for vjust is too small;2021-01-27T13:48:42Z;True;2022-11-09T13:27:06Z;lets-plot
