number;state;author;title;created_at;closed;closed_at
626;CLOSED;Andreas Radke;ggsave (.svg) transforms geom_text integer to float ;2022-11-03T20:26:29Z;true;2024-07-30T15:54:48Z
625;CLOSED;Igor Alshannikov;Layout: uneven left/right, top/bottom plot margins;2022-11-03T19:42:39Z;true;2022-11-12T00:24:33Z
624;CLOSED;;Upgrade to 1.16 version of apache-batik;2022-11-03T19:41:59Z;true;2022-12-15T22:16:08Z
623;CLOSED;Igor Alshannikov;Themes: can't change plot background after applying a "flavor";2022-11-03T18:53:21Z;true;2022-11-10T21:02:45Z
619;CLOSED;Igor Alshannikov;Positional "constant" doesn't honor axis limits;2022-10-19T17:10:23Z;true;2022-10-19T20:43:20Z
618;CLOSED;Igor Alshannikov;Positioning with "constant" x/y doesn't work on axis with log10 transform.;2022-10-18T21:15:21Z;true;2022-10-19T20:31:19Z
617;CLOSED;Xin;y axis wrong in stacked barplot;2022-10-17T10:34:05Z;true;2022-10-18T04:51:26Z
614;CLOSED;加油;Issues that appear when using the lets-plot library in pycharm;2022-10-13T07:47:45Z;true;2023-03-30T20:15:18Z
610;CLOSED;Igor Alshannikov;Tooltip is not shown when configured for 'const' value.;2022-10-06T21:06:32Z;true;2023-03-29T17:02:51Z
608;CLOSED;Andreas Radke;element_blank() has no effect in theme legend_title;2022-10-04T20:06:29Z;true;2022-11-09T13:17:01Z
607;CLOSED;Amirhossein Davoody;What plotting backends does lets-plot use?;2022-09-29T19:56:52Z;true;2022-09-30T23:25:44Z
605;CLOSED;Olga Larionova;Add support of multiple lines in text geometries;2022-09-28T15:56:24Z;true;2022-11-09T13:15:51Z
604;CLOSED;Kiryl Bubovich;Upgrade to 1.15 version of apache-batik;2022-09-26T08:35:28Z;true;2022-09-27T20:25:36Z
603;CLOSED;Eric;plot alignment not working with ggbunch;2022-09-25T20:20:18Z;true;2023-03-10T19:33:56Z
602;CLOSED;Florian Wetschoreck;Rendering is broken inside Databricks with DBR 11.x and higher - potential fix included;2022-09-20T23:31:59Z;true;2022-10-03T19:56:00Z
601;CLOSED;Olga Larionova;livemap: add support of `geom_label` parameters;2022-09-20T10:16:48Z;true;2022-11-09T13:24:08Z
600;CLOSED;Ivan Kupriyanov;Cryptic error message on geom_boxplot with orientation="y";2022-09-19T21:05:16Z;true;2024-04-16T10:38:19Z
597;CLOSED;Artem Smirnov;Specify size units in docstrings;2022-09-16T09:17:41Z;true;2022-09-16T10:53:34Z
596;CLOSED;Andreas Radke;Add png and jpeg support to ggsave;2022-09-14T13:35:40Z;true;2023-03-10T19:38:48Z
595;CLOSED;Andreas Radke;Error using lets-plot in streamlit ;2022-09-13T07:40:38Z;true;2022-09-13T12:45:52Z
593;CLOSED;加油;question:how to use lets-plot in compose for desktop?;2022-09-06T01:05:17Z;true;2022-10-13T07:50:16Z
592;CLOSED;Olga Larionova;geom_text: wrong label alignment with `hjust` 0 and 1;2022-09-05T16:31:28Z;true;2022-09-06T09:19:10Z
590;CLOSED;Andreas Radke;Add ggsave (or save) method to PlotSpec class;2022-08-29T07:15:46Z;true;2023-12-28T19:07:14Z
589;CLOSED;Iaroslav Postovalov;Unclear size unit of `width` and `positionDodge(width = ?)`;2022-08-24T10:58:13Z;true;2022-09-15T17:09:17Z
587;CLOSED;Olga Larionova;The plot caption overlaps with the legend;2022-08-19T15:19:35Z;true;2022-08-19T15:36:15Z
585;OPEN;Iaroslav Postovalov;Enable adding custom point shapes;2022-08-15T21:09:40Z;false;
581;CLOSED;Ryan Chui;No arm64 manylinux wheels;2022-08-08T04:08:23Z;true;2022-10-03T20:14:21Z
580;CLOSED;Hui (Henry) Chen;The tooltip not rotate after we apply coord_flip().;2022-08-03T18:19:07Z;true;2022-10-05T15:30:46Z
579;CLOSED;Olga Larionova;Tooltip: different formats for same aesthetic Y;2022-08-02T10:13:31Z;true;2022-10-15T00:48:33Z
577;CLOSED;Iaroslav Postovalov;Non-conventional package name;2022-07-27T05:40:42Z;true;2023-08-18T21:25:07Z
576;CLOSED;PJ Fanning;lets-plot-batik: META-INF/services files specify xalan;2022-07-24T16:04:01Z;true;2022-09-13T22:07:07Z
575;CLOSED;Olga Larionova;Tooltip is not displayed for the object on the border of the plot;2022-07-21T11:21:09Z;true;2022-07-21T13:18:57Z
574;CLOSED;Olga Larionova;Tooltip is shown not for the nearest object;2022-07-21T10:57:24Z;true;2022-07-21T12:27:51Z
572;CLOSED;Igor Alshannikov;Make `segment` geometry better suited for graphs visualization.;2022-07-15T16:56:12Z;true;2024-03-01T20:16:38Z
568;CLOSED;Mike Macpherson;latitude and longitude are transposed in `geom_livemap` example;2022-07-11T01:54:11Z;true;2022-07-15T17:44:58Z
565;CLOSED;Igor Alshannikov;Theme, element_text(): add support for the `margins` parameter. ;2022-07-06T17:08:50Z;true;2022-10-03T19:56:49Z
564;CLOSED;Stanislav Poslavsky;Feature request: `position` option for scales;2022-07-06T15:17:01Z;true;2023-03-10T19:40:30Z
563;CLOSED;Olga Larionova;No tooltips for `geom_boxplot` with zero height;2022-07-06T12:24:04Z;true;2022-09-06T08:47:07Z
562;CLOSED;Stanislav Poslavsky;Feature request: ability to specify font size, family, hjust and vjust for element_text();2022-07-05T00:21:01Z;true;2022-10-03T19:59:16Z
561;CLOSED;Igor Alshannikov;Add cumulative distribution plot;2022-06-29T21:42:41Z;true;2023-08-18T21:04:17Z
560;OPEN;Igor Alshannikov;Add `geom_rug()`;2022-06-29T20:14:24Z;false;
559;CLOSED;Igor Alshannikov;Marginal plots: add a "bistro" function for quick plot creation.;2022-06-29T20:06:34Z;true;2023-02-20T12:14:13Z
558;CLOSED;Igor Alshannikov;Support automatic detection of "orientation";2022-06-29T19:36:09Z;true;2024-04-17T08:03:28Z
557;CLOSED;Igor Alshannikov;Add `geom_label()`;2022-06-29T18:54:07Z;true;2022-10-03T19:59:36Z
556;OPEN;Igor Alshannikov;Add `geom_hex()`;2022-06-29T18:50:49Z;false;
555;CLOSED;Igor Alshannikov;Add support for "viridis" color scales.;2022-06-29T18:49:02Z;true;2022-07-15T19:22:19Z
554;CLOSED;Igor Alshannikov;Add `theme_bw` support;2022-06-29T18:44:49Z;true;2022-07-21T12:28:45Z
553;CLOSED;Igor Alshannikov;boxplot, violin, crossbar: position dodge width=0.95 should be used by default.;2022-06-28T21:28:43Z;true;2022-07-08T00:43:30Z
552;CLOSED;Igor Alshannikov;Density/area geom: preserve the z-order when grouping.;2022-06-28T20:51:47Z;true;2022-08-12T16:43:29Z
551;CLOSED;Igor Alshannikov;Allow to import all 'bistro' functions just by '*'.;2022-06-28T20:30:20Z;true;2022-08-12T16:43:29Z
550;CLOSED;Igor Alshannikov;Upgrade ktor version;2022-06-28T20:14:17Z;true;2022-06-30T10:44:31Z
549;CLOSED;Ivan Kupriyanov;Add horizontal segment for boxplot whiskers and option to control its size;2022-06-28T11:53:23Z;true;2022-09-02T14:33:36Z
547;CLOSED;Ivan Kupriyanov;Unexpected point geometries on geom_livemap();2022-06-09T18:52:38Z;true;2022-06-09T18:54:41Z
542;CLOSED;Stanislav Poslavsky;Feature request: add "panelBorder" theme option;2022-05-29T21:57:10Z;true;2022-06-14T12:47:43Z
539;CLOSED;Olga Larionova;Jfx: Artifacts on fast cursor moving ;2022-05-20T09:08:57Z;true;2022-05-26T13:15:53Z
526;CLOSED;;Support for polars.DataFrame;2022-03-27T10:05:01Z;true;2022-05-12T11:28:41Z
