number;state;author;title;created_at;closed;closed_at
194;CLOSED;Thomas Dost;Bug in empty plot: IndexOutOfBoundsException;2023-07-14T16:15:30Z;true;2023-08-24T20:08:37Z
189;CLOSED;Andrei Kislitsyn;How to remove side tooltips without `anchor`?;2023-05-24T10:17:42Z;true;2023-08-24T20:16:47Z
188;CLOSED;Igor Alshannikov;ggsave: saving `geomImshow()` to SVG produces fuzzy picture;2023-05-10T21:54:51Z;true;2023-08-24T20:10:44Z
187;CLOSED;Igor Alshannikov;ggsave: an error if file is already exists.;2023-05-10T21:46:37Z;true;2023-05-11T20:20:17Z
184;OPEN;Andrei Kislitsyn;Working with new types of data.;2023-05-06T19:32:43Z;false;
176;CLOSED;Andrei Kislitsyn;Tooltips bug;2023-04-17T09:55:38Z;true;2023-05-10T21:26:49Z
175;CLOSED;Andrei Kislitsyn;save image from algebric_curve;2023-04-11T22:14:06Z;true;2023-05-10T21:23:14Z
174;CLOSED;Andrei Kislitsyn;Shouldn't `scaleDateTime()` work by default with Instant?;2023-04-11T16:49:57Z;true;2023-05-10T21:25:15Z
171;CLOSED;Kirill Simovin;Skip name in the legend;2023-04-05T15:22:18Z;true;2023-04-05T17:10:23Z
170;CLOSED;Kirill Simovin;Is it possible to set axis limits?;2023-04-01T10:09:47Z;true;2023-04-02T09:03:14Z
165;CLOSED;Andrei Kislitsyn;`scaleXDiscrete` doesn't make scale discrete;2023-03-15T10:29:58Z;true;2023-03-17T18:12:28Z
154;CLOSED;Andrei Kislitsyn;Usage not only `Number` as a layer `x`/`y` argument ;2023-02-23T12:23:18Z;true;2023-06-28T19:29:58Z
153;CLOSED;Andrei Kislitsyn;scaleColorGradient2 doesn't work;2023-02-21T12:47:28Z;true;2023-02-22T09:01:15Z
152;CLOSED;Stan;Plot not displaying in SwingNode;2023-01-30T14:53:27Z;true;2023-08-25T20:51:42Z
143;CLOSED;Andrei Kislitsyn;Boxplot bug;2022-11-25T09:32:56Z;true;2023-08-24T20:13:46Z
140;CLOSED;;Vulnerability in lets-plot-batik:2.5.0;2022-11-02T18:26:03Z;true;2022-12-30T20:27:19Z
139;CLOSED;;Exports a plot to memomy buffer by ggsave;2022-10-25T16:54:13Z;true;2023-08-25T20:59:06Z
137;OPEN;;Add a dynamic chart update;2022-10-07T06:36:01Z;false;
136;OPEN;Andrei Kislitsyn;Group by multiple columns;2022-09-29T10:50:58Z;false;
134;CLOSED;Holger Brandl;Using class and `+` instead of `.`-chained builder for plot composition results in hard-to-use API;2022-09-27T09:10:11Z;true;2023-06-28T19:34:36Z
129;OPEN;Andrei Kislitsyn;kotlinx.datetime.LocalDate and LocalDateTime support;2022-09-05T14:32:17Z;false;
128;CLOSED;Marc Plano-Lesay;Creating a custom palette;2022-08-09T04:48:03Z;true;2022-08-14T09:15:55Z
123;CLOSED;Igor Alshannikov;Java docs: add links to related demo notebooks.;2022-06-28T20:23:44Z;true;2022-07-26T00:46:22Z
121;CLOSED;Andrei Kislitsyn;Incorrect documentation for the geomPointRange.;2022-06-20T12:29:36Z;true;2022-06-21T15:51:18Z
115;CLOSED;Iaroslav Postovalov;Non-conventional package name?;2022-06-11T17:37:16Z;true;2022-07-26T00:47:42Z
